[STATE] heartbeat t=2050-01-02 20:00 RUNNING step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 270 (+18), battle-trigger passes 31681 (+1799) since last beat
[CAMERA] pan -> 150.5,-2.9 Gm
[STATE] heartbeat t=2050-01-03 03:35 RUNNING step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 312 (+12), battle-trigger passes 37141 (+1800) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[TIME] paused
[STATE] heartbeat t=2050-01-03 05:15 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+12), battle-trigger passes 38341 (+1200) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> 150.6,-2.8 Gm
[CAMERA] pan -> 150.6,-2.8 Gm
[CAMERA] pan -> 150.6,-2.8 Gm
[CAMERA] pan -> 150.6,-2.8 Gm
[CAMERA] pan -> 150.6,-2.8 Gm
[CAMERA] pan -> 150.6,-2.8 Gm
[CAMERA] pan -> 150.6,-2.8 Gm
[CAMERA] pan -> 150.6,-2.8 Gm
[CAMERA] pan -> 150.6,-2.8 Gm
[CAMERA] pan -> 150.6,-2.8 Gm
[CAMERA] pan -> 150.7,-2 Gm
[CAMERA] pan -> 150.7,-2 Gm
[CAMERA] pan -> 150.7,-2 Gm
[CAMERA] pan -> 150.7,-2 Gm
[CAMERA] pan -> 150.7,-2 Gm
[CAMERA] pan -> 150.7,-2 Gm
[CAMERA] pan -> 150.7,-2 Gm
[CAMERA] pan -> 150.7,-2 Gm
[CAMERA] pan -> 150.7,-2 Gm
[CAMERA] pan -> 150.7,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[STATE] heartbeat t=2050-01-03 05:15 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38341 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[TIME] one step (300s)
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+60) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-2 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-1.9 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.5,-2.1 Gm
[CAMERA] pan -> 150.4,-2.2 Gm
[CAMERA] pan -> 150.4,-2.2 Gm
[CAMERA] pan -> 150.4,-2.2 Gm
[CAMERA] pan -> 150.4,-2.2 Gm
[CAMERA] pan -> 150.4,-2.2 Gm
[CAMERA] pan -> 150.4,-2.2 Gm
[CAMERA] pan -> 150.4,-2.2 Gm
[CAMERA] pan -> 150.4,-2.2 Gm
[CAMERA] pan -> 150.4,-2.2 Gm
[CAMERA] pan -> 150.4,-2.2 Gm
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-03 05:20 paused step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 324 (+0), battle-trigger passes 38401 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> 149.8,-1.5 Gm
[CAMERA] pan -> 149.8,-1.5 Gm
[CAMERA] pan -> 149.8,-1.5 Gm
[CAMERA] pan -> 149.8,-1.5 Gm
[CAMERA] pan -> 149.8,-1.5 Gm
[CAMERA] pan -> 149.8,-1.5 Gm
